strategy,accuracy,macro_f1,rumor_f1,precision_1,recall_1,tn,fp,fn,tp,fold,scale,feature_set
baseline,0.8359788359788359,0.8311381387439837,0.802547770700637,0.8475336322869955,0.7620967741935484,285,34,59,189,1,0.0,baseline
strict_rhetorical_scale_0.5,0.8359788359788359,0.8311381387439837,0.802547770700637,0.8475336322869955,0.7620967741935484,285,34,59,189,1,0.5,strict
strict_rhetorical_scale_1,0.8359788359788359,0.8311381387439837,0.802547770700637,0.8475336322869955,0.7620967741935484,285,34,59,189,1,1.0,strict
strict_rhetorical_scale_2,0.8342151675485009,0.8292168674698795,0.8,0.8468468468468469,0.7580645161290323,285,34,60,188,1,2.0,strict
strict_rhetorical_scale_4,0.8342151675485009,0.8292168674698795,0.8,0.8468468468468469,0.7580645161290323,285,34,60,188,1,4.0,strict
component_rhetorical_scale_0.5,0.8324514991181657,0.8272921108742004,0.7974413646055437,0.8461538461538461,0.7540322580645161,285,34,61,187,1,0.5,component
component_rhetorical_scale_1,0.8324514991181657,0.8272921108742004,0.7974413646055437,0.8461538461538461,0.7540322580645161,285,34,61,187,1,1.0,component
component_rhetorical_scale_2,0.8359788359788359,0.8311381387439837,0.802547770700637,0.8475336322869955,0.7620967741935484,285,34,59,189,1,2.0,component
component_rhetorical_scale_4,0.8359788359788359,0.8311381387439837,0.802547770700637,0.8475336322869955,0.7620967741935484,285,34,59,189,1,4.0,component
baseline,0.8641975308641975,0.8608455911647994,0.8392484342379958,0.8701298701298701,0.8104838709677419,289,30,47,201,2,0.0,baseline
strict_rhetorical_scale_0.5,0.8641975308641975,0.8608455911647994,0.8392484342379958,0.8701298701298701,0.8104838709677419,289,30,47,201,2,0.5,strict
strict_rhetorical_scale_1,0.8641975308641975,0.8608455911647994,0.8392484342379958,0.8701298701298701,0.8104838709677419,289,30,47,201,2,1.0,strict
strict_rhetorical_scale_2,0.8641975308641975,0.8608455911647994,0.8392484342379958,0.8701298701298701,0.8104838709677419,289,30,47,201,2,2.0,strict
strict_rhetorical_scale_4,0.8624338624338624,0.858958822328809,0.8368200836820083,0.8695652173913043,0.8064516129032258,289,30,48,200,2,4.0,strict
component_rhetorical_scale_0.5,0.8606701940035273,0.8572311909353136,0.8350730688935282,0.8658008658008658,0.8064516129032258,288,31,48,200,2,0.5,component
